ZipOrFSA,CityList,HomeCount,KnockCount,ContactCount,ContactRate,NoCount,LeadCount,YesRate,QCCount,BadCount,BadRate,OrderCount,OrderAmount,AvgRevenuePerSale,AvgRevenuePer100Homes,PercentageOfHomesKnocked,ContactRateOfHomesAvailable,LeadsPer100HomesKnocked,SalesPer100HomesKnocked
33139,"Old Town, Harborview",5250,1868,424,22.7,411,13,3.1,2,0,0,0,,,,35.58,8.08,0.7,
19103,"Downtown, Riverside",6489,2873,930,32.4,842,88,9.5,9,0,0,3,2379.46,793.15,36.67,44.27,14.33,3.06,0.1
55408,"Old Town, Harborview",7766,2738,927,33.9,796,131,14.1,3,0,0,0,,,,35.26,11.94,4.78,
85016,"Old Town, Harborview",982,111,56,50.5,54,2,3.6,15,0,0,0,,,,11.3,5.7,1.8,
15217,"Downtown, Riverside",1862,459,165,35.9,156,9,5.5,17,0,0,0,,,,24.65,8.86,1.96,
M5V,"Maple Grove, Weston",6286,1701,1011,59.4,902,109,10.8,4,0,0,1,874.64,874.64,13.91,27.06,16.08,6.41,0.06
K1P,"Downtown, Riverside",1943,154,45,29.2,43,2,4.4,5,0,0,1,798.66,798.66,41.1,7.93,2.32,1.3,0.65
V6B,"Maple Grove, Weston",2809,8,2,25.0,2,0,0.0,4,0,0,2,1279.61,639.8,45.55,0.28,0.07,,25.0
T2T,"Downtown, Riverside",4240,1607,577,35.9,536,41,7.1,1,0,0,1,680.57,680.57,16.05,37.9,13.61,2.55,0.06
H3A,"Hillcrest, Oak Park",1051,213,80,37.6,78,2,2.5,0,0,0,2,663.09,331.55,63.09,20.27,7.61,0.94,0.94
N6A,"Hillcrest, Oak Park",4895,415,240,57.8,217,23,9.6,19,0,0,0,,,,8.48,4.9,5.54,
R3C,"Old Town, Harborview",1716,649,195,30.0,183,12,6.2,3,0,0,0,,,,37.82,11.36,1.85,
B3J,"Old Town, Harborview",4317,1967,774,39.3,750,24,3.1,8,0,0,0,,,,45.56,17.93,1.22,
S7H,"Old Town, Harborview",7289,2834,749,26.4,732,17,2.3,17,0,0,2,1034.1,517.05,14.19,38.88,10.28,0.6,0.07
G1R,"Downtown, Riverside",6710,2163,690,31.9,619,71,10.3,8,0,0,0,,,,32.24,10.28,3.28,
E1C,"Maple Grove, Weston",7940,684,234,34.2,223,11,4.7,10,0,0,2,1534.87,767.43,19.33,8.61,2.95,1.61,0.29
L9A,"Hillcrest, Oak Park",5523,799,417,52.2,365,52,12.5,6,0,0,3,2345.99,782.0,42.48,14.47,7.55,6.51,0.38
Z9Z9Z,"Old Town, Harborview",3412,1497,316,21.1,309,7,2.2,6,0,0,0,,,,43.87,9.26,0.47,
M5V,"Maple Grove, Weston",4163,1431,832,58.1,776,56,6.7,15,0,0,0,,,,34.37,19.99,3.91,
